Rank,Dataset,Gene,Type,Outgoing_Strength,Outgoing_Strength_Std,Top5_Outgoing_Targets
28,Kameneva,BEX1,Gene,19.675,5.212,HINT1 (+1.70); PTMA (+1.37); YBX1 (+1.32); HNRNPA1 (+1.31); UCHL1 (+1.07)
29,Kameneva,RAMP1,Gene,18.558,5.149,HMGN2 (+1.23); FAU (+1.15); BTF3 (+1.01); HINT1 (+0.96); ATP5F1E (+0.87)
30,Kameneva,TMSB10,Gene,18.002,8.258,PENK (-1.58); ALDH1A1 (+1.11); CARTPT (-1.11); EDNRB (+0.90); RPL10 (+0.82)
31,Kameneva,TPM1,Gene,17.155,2.865,S100B (+0.68); MEG3 (-0.65); IGFBP2 (+0.64); PNMT (-0.58); TH (-0.54)
32,Kameneva,RGS5,Gene,17.129,6.02,STMN2 (+5.89); RGS4 (+1.72); DBH (+1.30); NPY (+0.98); RPS13 (+0.65)
33,Kameneva,PTMS,Gene,16.87,4.69,ACTG1 (+1.88); YBX1 (+0.95); VIM (+0.85); PLP1 (+0.83); EEF2 (+0.78)
34,Kameneva,PLP1,Gene,16.722,1.604,CARTPT (-0.85); PENK (-0.69); CHGA (-0.68); CHGB (-0.58); RGS4 (-0.55)
35,Kameneva,TH,Gene,16.715,4.563,MEG3 (+1.22); RGS5 (+1.06); RPS29 (+0.89); ATP5F1E (+0.84); RPL30 (+0.82)
36,Kameneva,MAP1B,Gene,16.326,2.349,PRPH (+0.96); GAP43 (+0.93); RTN1 (+0.75); COL1A1 (+0.72); ANXA2 (+0.62)
37,Kameneva,PHOX2A,Gene,16.28,7.145,CHGA (-0.94); PTPRZ1 (-0.85); HTATSF1 (-0.74); MEG3 (-0.68); TIMP3 (-0.68)
38,Kameneva,PENK,Gene,15.844,10.18,RAMP1 (+1.37); DLK1 (+1.34); HMGN2 (+1.10); HMGB2 (+0.76); ANXA2 (-0.72)
39,Kameneva,COL18A1,Gene,15.588,3.53,CHGA (+0.91); TH (+0.78); RGS5 (+0.57); PNMT (+0.55); EEF1A2 (+0.53)
40,Kameneva,ANXA2,Gene,15.268,4.365,COL18A1 (+0.98); IGFBP2 (+0.84); VIM (+0.74); CRYAB (+0.64); COL1A1 (+0.63)
41,Kameneva,SPARC,Gene,14.469,5.439,CHGA (-0.96); TH (-0.81); MPZ (+0.71); OLFML2A (+0.66); LGALS1 (+0.54)
42,Kameneva,OLFML2A,Gene,14.322,5.438,PTPRZ1 (+1.04); HAND2-AS1 (-0.58); EDNRB (+0.52); GAL (-0.50); RGS5 (-0.48)
43,Kameneva,GAP43,Gene,14.266,6.021,GAL (+1.25); TMSB10 (+1.24); RTN1 (+1.04); PRPH (+1.00); PTMA (+0.71)
44,Kameneva,CHGB,Gene,13.931,5.27,ALDH1A1 (-2.17); CHGA (-1.57); PTPRZ1 (-1.45); ZEB2 (-1.19); COL5A2 (-0.68)
45,Kameneva,UCHL1,Gene,12.908,2.319,CHGA (-1.25); RPL10 (+0.67); TMSB10 (+0.65); PTMA (+0.61); LGALS1 (+0.59)
46,Kameneva,MDK,Gene,12.383,4.177,RTN1 (+1.39); PHOX2A (+1.02); GAP43 (+0.65); GAL (+0.54); PENK (-0.42)
47,Kameneva,FAU,Gene,11.762,2.471,RPS4X (+1.49); RPL30 (+1.28); RPL32 (+1.27); RPL12 (+1.27); RPL10 (+1.20)
48,Kameneva,COL1A1,Gene,11.355,3.014,PLP1 (+0.94); OLFML2A (+0.63); COL5A2 (+0.60); VCAN (+0.36); EDNRB (+0.35)
49,Kameneva,PNMT,Gene,11.179,5.053,CHGA (+1.23); ATP5F1E (+1.11); CARTPT (+0.91); HINT1 (+0.71); HTATSF1 (+0.62)
50,Kameneva,VIM,Gene,10.976,8.001,CHGA (-0.80); EEF1A2 (-0.78); GAL (-0.61); RAMP1 (-0.49); CD24 (-0.48)
51,Kameneva,QKI,Gene,10.362,2.449,MEG3 (+0.88); RPL32 (-0.55); RPL41 (-0.54); RPS4X (-0.41); RPS2 (-0.35)
52,Kameneva,PTN,Gene,10.203,1.895,NPY (-0.68); PENK (+0.41); APOE (-0.40); MPZ (-0.38); DBH (-0.37)
53,Kameneva,NRXN1,Gene,9.843,6.209,ACTG1 (-0.52); CHGA (+0.42); QKI (-0.40); COL1A1 (-0.38); EEF1A2 (+0.30)
54,Kameneva,FOS,Gene,9.837,2.256,PTPRZ1 (+1.14); NRXN1 (+0.54); METRN (+0.49); HTATSF1 (-0.40); RGS5 (-0.38)
55,Kameneva,CARTPT,Gene,9.494,4.205,NRXN1 (-1.12); PNMT (+0.69); VCAN (-0.47); HMGN2 (+0.43); PRPH (-0.40)
56,Kameneva,HMGB2,Gene,9.455,2.156,PTMA (+0.55); HMGN2 (+0.52); ATP5F1E (+0.40); H2AFZ (+0.34); RAMP1 (+0.27)
57,Kameneva,H2AFZ,Gene,9.388,2.976,CHGA (-0.98); MEG3 (-0.66); STMN2 (+0.64); HTATSF1 (-0.57); GAL (+0.39)
58,Kameneva,CD24,Gene,8.97,4.078,GAL (+0.73); STMN2 (+0.65); C4orf48 (+0.56); PHOX2A (+0.37); ANXA2 (+0.37)
59,Kameneva,EIF4A2,Gene,8.645,0.72,EDNRB (+0.92); ALDH1A1 (+0.49); VCAN (+0.49); HAND2 (-0.44); OLFML2A (+0.41)
