gene_id	symbol	mrna_half_life_h	prot_half_life_h	measurement_group
MGI:108109	Ywhag	7.550000000000001	134.46000000000004	Ywhag
MGI:108117	Emd	13.29	49.92999999999999	Emd;Sta;RP23-436K3.2-002
MGI:108177	Dhx9	13.860000000000001	81.12999999999997	Dhx9;Ddx9
MGI:108180	Mrpl49	7.960000000000001	29.51000000000001	Mrpl49
MGI:108186	Aldh7a1	22.050000000000004	147.65999999999994	Aldh7a1;Ald7a1
MGI:108202	Pcbp2	18.35	49.220000000000006	Pcbp2;Cbp;Hnrnpx;Hnrpx
MGI:108212	Ripk1	7.660000000000002	41.26	Ripk1;Rinp;Rip
MGI:108278	Ube2m	11.61	41.81000000000001	Ube2m;Ubc-rs2;Ubc12
MGI:108295	Pxn	8.100000000000001	43.54999999999999	Pxn
MGI:108360	Enah	13.430000000000001	82.24000000000002	Enah;Mena;Ndpp1
MGI:108389	Kif4	10.979999999999999	13.079999999999998	Kif4;Kif4a;Kns4
MGI:108390	Kif2a	8.069999999999999	36.63000000000001	Kif2a;Kif2;Kns2
MGI:108396	Dtymk	7.160000000000001	31.390000000000008	Dtymk;Tmk
MGI:108399	Tcf20	8.100000000000001	34.099999999999994	Tcf20;Spbp
MGI:108403	Polr1d	7.1969576905800965	12.003832721260324	Polr1d;Rpo1-3
MGI:108405	Apbb2	3.47	11.039999999999997	Apbb2
MGI:108411	Prkag1	9.520000000000001	38.209999999999994	Prkag1;Prkaac
MGI:108412	Plpp1	11.1	56.49	Ppap2a;Hpic53;Lpp1
MGI:108414	Pafah1b3	14.689999999999998	176.33	Pafah1b3;Pafahg
MGI:108415	Pafah1b2	8.529999999999998	169.00999999999993	Pafah1b2;Pafahb
MGI:108426	Kif1b	8.66204363877255	20.104004576203216	Kif1b;RP23-249G3.1-007;mCG_141691
MGI:108447	Anp32a	15.780000000000003	411.79000000000013	Anp32a;Anp32;Lanp
MGI:108451	Acaca	14.020000000000001	105.29999999999997	Acaca;Acac;Gm738
MGI:108471	Ntan1	7.91	68.10999999999997	Ntan1
MGI:108481	Anxa11	20.3	58.98999999999999	Anxa11;Anx11;mCG_17919
MGI:108515	Cbx3	7.759999999999999	21.66	Cbx3
MGI:108517	Dennd2b	5.52	23.819999999999997	St5;Dennd2b
MGI:109127	Tsc22d1	4.16	6.9399999999999995	Tsc22d1;Kiaa1994;Tgfb1i4;Tilz1b;Tsc22
MGI:109130	Stip1	16.719999999999995	157.33	Stip1
MGI:109146	Tmsb10	24.060000000000002	57.690000000000005	Tmsb10;Ptmb10
MGI:109150	Mnt	5.43	7.930000000000001	Mnt;Rox
MGI:109152	Lig3	7.09	53.5	Lig3;RP23-316C11.6-002;mCG_8187
MGI:109153	Ktn1	13.039999999999997	57.04999999999999	Ktn1
MGI:109162	Gpam	7.91	34.60000000000001	Gpam;Gpat1;mKIAA1560
MGI:109164	Gng5	8.449999999999998	10.770000000000001	Gng5;Gngt5
MGI:109166	Ncs1	9.47	22.910000000000004	Freq;Ncs1
MGI:109175	Dab2	8.109999999999998	21.68	Dab2;Doc2
MGI:109176	Cpt2	7.34	214.93000000000004	Cpt2;RP23-40G2.4-001;mCG_17985;Cpt-2;RP23-40G2.4-002
MGI:109182	Acat3	11.63	5763.7000000000035	Acat2;Acat3
MGI:109192	Actn2		56.21999999999999	Actn2
MGI:109194	Ywhah	9.42	73.98999999999998	Ywhah
MGI:109200	Tradd	9.07	71.62	Tradd
MGI:109201	Nat2	2.73	158.32000000000005	Nat2;Aac2
MGI:109207	Eif4g2	18.770000000000003	42.099999999999994	Eif4g2;Nat1
MGI:109211	Pkn2	9.489999999999998	33.08	Pkn2;Prkcl2
MGI:109233	Kif22	7.290000000000001	4.78	Kif22
MGI:109234	Kif21b	7.069999999999999	54.92999999999998	Kif21b;Kif6
MGI:109239	Kcnab2	16.739999999999995	176.25999999999996	Kcnab2;Ckbeta2;I2rf5;Kcnb3
MGI:109240	Ube2l3	13.509999999999996	86.12000000000002	Ube2l3;Ubce7
MGI:109241	Tead3	9.13	15.509999999999998	Tead1;Tcf13;Tef-1;Tef1;mCG_15837;Tead3;RP24-68J3.4-007;Tead2;Etdf;Etf;Tef4;Tcf13r2;Tef5
MGI:109242	Spin1	3.22	7.36	Spin1;Spin
MGI:109257	Smn1	8.469999999999999	47.33	Smn1;Smn;RP23-333E24.4-008
MGI:109263	Tsn	11.8	64.64000000000001	Tsn
MGI:109268	Vasp	10.670000000000002	60.16999999999998	Vasp
MGI:109274	Trim28	11.430000000000001	70.83000000000001	Trim28;Krip1;Tif1b
MGI:109275	Trim24	7.14	8.839999999999998	Trim24;Tif1;Tif1a
MGI:109279	Nnt	37.17999999999999	72.47000000000001	Nnt
MGI:109280	Nudt1	8.839999999999998	5.4	Nudt1;Mth1
MGI:109281	Pkp4	11.1	156.91999999999996	Pkp4;Armrp;RP23-311G5.1-002
MGI:109283	Pdcd6	13.96	50.56	Pdcd6;Alg2
MGI:109284	Psen2	12.69	28.439999999999998	Psen1;Ad3h;Psnl1;Psen2;Ad4h;Alg3;Ps-2;Psnl2;mCG_6223
MGI:109292	Rad50	13.17	93.54	Rad50
MGI:109296	Sqle	8.4	9.260000000000002	Sqle;Erg1
MGI:109298	Mapkapk2	12.1	22.099999999999998	Mapkapk2;Rps6kc1
MGI:109299	Polr2c	6.6899999999999995	33.43	Polr2c;Rpo2-3
MGI:109301	Papola	13.720000000000002	34.67999999999999	Papola;Pap;Plap;Papolb;Papt;Tpap
MGI:109318	Myl6	13.779999999999998	148.31999999999996	Myl6;Myln
MGI:109324	Fadd	8.06	75.06999999999998	Fadd;Mort1
MGI:109328	Bnip1	5.09	22.589999999999996	Bnip1;Sec20;Sec20l;RP24-335I14.1-009
MGI:109331	Nxn	14.96	63.98000000000001	Nxn;Gn25
MGI:109334	Irs2	3.31	11.889999999999999	Irs2
MGI:109336	Etv6	5.539999999999999	23.299999999999997	Etv6;Tel;Tel1
MGI:109339	Eya3	7.430000000000001	40.74	Eya3
MGI:109342	Eif2d	12.500000000000002	74.29999999999998	Lgtn
MGI:109345	Ctr9	9.819999999999999	44.53999999999999	Ctr9;Kiaa0155;Sh2bp1
MGI:109353	Ufd1	6.920000000000001	38.040000000000006	Ufd1l
MGI:109356	Snap23	7.619999999999999	28.380000000000003	Snap23;RP23-158L6.2-002;Sndt;RP23-158L6.2-005;RP23-158L6.2-006
MGI:109362	Krt86		100.32000000000002	Krt85;Krt2-18;Krthb5;Krt83;Kb25;Krt2-25;Krt86;Krt2-10;Krthb6;Krt81;Krt2-19;5430421N21Rik
MGI:109367	Impdh2	9.650000000000002	47.61000000000001	Impdh2;Impdh
MGI:109369	Hp1bp3	9.220000000000002	42.620000000000005	Hp1bp3;RP23-25C1.1-008
MGI:109372	Cbx5	8.51	19.529999999999998	Cbx5;Hp1a
MGI:109373	Hmox2	8.249999999999998	54.34	Hmox2
MGI:109377	Ell	4.13	28.32	Ell;mCG_23118
MGI:109383	Casp7	6.4	31.750000000000007	Casp7;Lice2;Mch3
MGI:109386	Cebpz	12.890000000000002	47.03	Cebpz;Cbf2;Cebpa-rs1
MGI:109404	Nup98	5.529999999999999	25.961224932579746	Nup98
MGI:109419	Faf1	22.53	19.98	Faf1;RP23-113G7.1-001;mCG_141641
MGI:109443	Gtpbp1	12.44	41.35999999999999	Gtpbp1;Gtpbp
MGI:109447	Ctcf	6.34	46.95000000000001	Ctcf
MGI:109473	Usp34		25.91	Usp34;Kiaa0570;Murr2
MGI:109474	Commd1	14.600000000000001	68.73999999999997	Commd1;U2/MU;RP23-242C19.3-001;mCG_52266;Murr1
MGI:109484	Ywhaz	11.11	111.88999999999996	Ywhaz
MGI:109486	Prdx2	12.559999999999999	249.06000000000012	Prdx2;Tdpx1;Tpx
MGI:109489	Snrpc	12.489999999999998	31.91	Snrpc;Snrp1c
MGI:109490	Sms	6.54	97.45999999999998	Sms
MGI:109496	Lgals9	18.329999999999995	25.769999999999996	Lgals9;RP23-12I13.3-002
MGI:109501	Crat	18.18	91.68000000000002	Crat
MGI:109514	Cstb	12.149999999999999	308.03	Cstb;Cst6;Stfb
MGI:109520	Pafah1b1	8.26	45.65999999999999	Pafah1b1;Lis-1;Lis1;Pafaha
MGI:109529	Dpf2	8.19	21.339999999999996	Dpf2;Req;Ubid4
MGI:109531	Cdc37	28.42	47.76	Cdc37
MGI:109533	Abcb7	12.51	104.18000000000004	Abcb7;RP23-202N14.1-001;Abc7
MGI:1095401	Rida	14.449999999999998	327.4	Hrsp12;Hrp12
MGI:1095403	Sf1	10.58	43.57000000000001	Sf1;Zfm1;Zfp162
MGI:1095406	Tuba3a	10.299999999999999	107.34999999999997	Tuba1a;Tuba1;Tuba3a;Tuba3;Tuba3b;Tuba7
MGI:1095408	Tuba3b	10.299999999999999	107.34999999999997	Tuba1a;Tuba1;Tuba3a;Tuba3;Tuba3b;Tuba7
MGI:1095409	Tuba1c	6.78	79.05000000000001	Tuba1c;Tuba6
MGI:1095410	Tuba4a	12.259999999999998	89.76000000000003	Tuba4a;Tuba4
MGI:1095411	Nup214	13.689999999999998	98.95000000000003	Nup214;Kiaa0023
MGI:1095417	Gsta1		7.2	Gsta1;Gsta;Gstya;Gsta2;ENSMUSG00000074179;mCG_129928
MGI:109544	Crybg1	10.770000000000001	38.53	Aim1
MGI:109547	Dnm2		72.02000000000001	Dnm2;Dyn2
MGI:109548	Adam10	19.310000000000002	13.409999999999997	Adam10;RP24-68C7.1-001;mCG_2943;Kuz;Madm
MGI:109555	Psmc2	10.809999999999999	57.75999999999997	Psmc2;Mss1
MGI:109564	Kif5a		66.32	Kif5a;Kiaa4086;Kif5;Nkhc1
MGI:109568	Wbp4	7.7	15.96	Wbp4;Fbp21;Fnbp21;mCG_9013
MGI:109569	Fmnl3	9.13	11.869999999999997	Fmnl3;Kiaa2014
MGI:109573	Tep1	14.779999999999996	61.269999999999996	Tep1;Tp1
MGI:109580	Sf3b4	7.960000000000001	26.319999999999997	Sf3b4
MGI:109581	S100a13	12.179999999999998	153.24	S100a13
MGI:109582	Polr2j	8.8	24.43	Polr2j;Rpo2-4
MGI:109583	Pten	11.85	129.04287814521183	Pten
MGI:109584	Prpf4b	6.789999999999999	135.01	Prpf4b;mCG_22253;Cbp143;Prp4h;Prp4k;Prp4m;Prpk
MGI:109591	Nfic	12.46	26.440000000000005	Nfic
MGI:109596	Kifc1		9.379999999999999	Kifc1;Kifc4;Kifc5a;Kifc5b;KIFC1
MGI:109602	Gphn	12.949999999999998	113.46999999999998	Gphn
MGI:109605	Srgap2	8.64	46.60999999999999	Srgap2;Fbp27;Fnbp2
MGI:109618	Atp6v1b2	9.680000000000001	312.44	Atp6v1b2;Atp6b2;Vat2
MGI:109622	Aip	13.18	30.41	Aip
MGI:109629	Atp6ap1	20.3	6.910000000000001	Atp6ap1;Atp6ip1;Atp6s1;RP23-436K3.7-008
MGI:1096317	Eef1a2		103.16000000000004	Eef1a2;Eef1al;Stn
MGI:1096335	Adam17	17.7	5.75	Adam17;Tace
MGI:1096342	Rhoa	18.309999999999995	24.24	Rhoa;Arha;Arha2
MGI:1096344	Ampd3	8.06	76.77999999999997	Ampd3;mCG_7237
