gene_id	symbol	mrna_half_life_h	n_mrna_cell_lines	prot_half_life_h	n_prot_cell_types	measurement_group
HGNC:10640	CXCL14	6.670119762792404	1.0			HGNC:10640
HGNC:10642	CXCL5	19.866831790929965	1.0			HGNC:10642
HGNC:10643	CXCL6	1.7726472627577996	2.0			HGNC:10643
HGNC:10648	AIMP1	2.999475853825841	11.0	140.57923142047875	4.0	HGNC:10648
HGNC:1065	BLZF1	1.6141481114832585	9.0			HGNC:1065
HGNC:10658	SDC1	3.439166558830049	8.0	10.81579496234933	1.0	HGNC:10658
HGNC:10659	SDC2	4.451601608884355	7.0	14.723866068659655	1.0	HGNC:10659
HGNC:1066	BMI1	2.9777751147814184	7.0			HGNC:1066
HGNC:10660	SDC3	3.7970176120796575	8.0			HGNC:10660
HGNC:10661	SDC4	1.556544708711796	10.0			HGNC:10661
HGNC:10662	SDCBP	5.089865958153636	11.0	27.45458001444914	4.0	HGNC:10662
HGNC:10663	NEMF	3.0896297187010764	11.0	61.31649499168889	4.0	HGNC:10663
HGNC:10664	CWC27	5.396748930856667	11.0	70.77412230387169	2.0	HGNC:10664
HGNC:10665	UTP14A	2.105426175950834	11.0	44.198808608189715	4.0	HGNC:10665
HGNC:10666	STARD10	4.165083359826463	9.0			HGNC:10666
HGNC:10667	ENTR1	2.8985088615098364	11.0			HGNC:10667
HGNC:10668	NOXA1	6.617269964469051	4.0			HGNC:10668
HGNC:10669	TSHZ1	0.8702441690515665	9.0			HGNC:10669
HGNC:1067	BMP1	5.208678994521809	11.0	33.754085748598456	1.0	HGNC:1067
HGNC:10671	SDCCAG8	5.08338167025789	9.0	36.18622387845087	1.0	HGNC:10671
HGNC:10672	CXCL12	1.9763743537466807	2.0			HGNC:10672
HGNC:10675	SDF2	1.9919739346447087	11.0	96.1599841622085	2.0	HGNC:10675
HGNC:10676	SDF2L1	4.285618338708022	11.0	147.2761666591462	3.0	HGNC:10676
HGNC:10680	SDHA	7.31908159340836	11.0	239.44867425530057	4.0	HGNC:10680
HGNC:10681	SDHB	7.6144541728638035	11.0	286.6367115610406	4.0	HGNC:10681
