gene,species,match,matched_symbol,ortholog,mrna_half_life_h,mrna_source,mrna_neighbors,protein_half_life_h,protein_source,protein_neighbors,d0,d1,d0_assigned,d1_assigned
Mgp,mouse,symbol,Mgp,MGP,16.828333346985055,estimated:ortholog+function,"ortholog: MGP (human) | function: Ctsz (0.21), Tmtc3 (0.19), Fbln2 (0.18), Igfbp7 (0.18), Col4a1 (0.18), Commd5 (0.16), Sparc (0.16), Hpcal1 (0.15)",19.09188584483979,estimated:function,"function: Ctsz (0.21), Tmtc3 (0.19), Fbln2 (0.18), Igfbp7 (0.18), Col4a1 (0.18), Commd5 (0.16), Aimp2 (0.16), Sparc (0.16)",0.04118929464183265,0.03630585193066672,0.6602898939959303,0.04915658960721549
Mrps24,mouse,symbol,Mrps24,MRPS24,15.160000000000002,measured,,87.07999999999997,measured,,0.04572210953561644,0.007959889533302084,0.6602898939959303,0.04915658960721549
Msx2,mouse,symbol,Msx2,MSX2,5.363714961773312,estimated:ortholog+function,"ortholog: MSX2 (human) | function: Smad4 (0.19), Ncoa3 (0.19), Prrx1 (0.18), Smad2 (0.18), Med1 (0.18), Trps1 (0.16), Rbpj (0.16), Id1 (0.16)",23.586036278810255,estimated:function,"function: Smad4 (0.19), Ncoa3 (0.19), Prrx1 (0.18), Smad2 (0.18), Med1 (0.18), Trps1 (0.16), Rbpj (0.16), Id1 (0.16)",0.12922893656727463,0.029388031645769586,0.6602898939959303,0.04915658960721549
Mybl2,mouse,symbol,Mybl2,MYBL2,13.039753198375008,estimated:ortholog+family+function,"ortholog: MYBL2 (human) | family: Myb/SANT domain containing: Dnajc1,Rcor1,Ezh2,Smarcc1,Ncor2,Mta2,Ncor1,Rcor2 | function: Nrf1 (0.37), Mga (0.36), Cenpk (0.36), Stag1 (0.36), Nfyc (0.35), Ubp1 (0.33), Nkrf (0.32), Nfic (0.30)",28.247713359016146,estimated:family+function,"family: Myb/SANT domain containing: Dnajc1,Rcor1,Ezh2,Smarcc1,Ncor2,Mta2,Ncor1,Rcor2 | function: Nrf1 (0.37), Mga (0.36), Cenpk (0.36), Stag1 (0.36), Nfyc (0.35), Stag2 (0.33), Ubp1 (0.33), Nkrf (0.32)",0.053156464697991686,0.02453816957678472,0.6602898939959303,0.04915658960721549
Myc,mouse,symbol,Myc,MYC,5.323821348213494,estimated:ortholog+family+function,"ortholog: MYC (human) | family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1 | function: Smad4 (0.17), Smad3 (0.17), Stat3 (0.15), Creb1 (0.15), Pml (0.15), Foxp1 (0.15), Psen1 (0.14), Hdac4 (0.14)",22.57829551270278,estimated:family+function,"family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1,Max | function: Smad4 (0.17), Smad3 (0.17), Stat3 (0.15), Creb1 (0.15), Pml (0.15), Foxp1 (0.15), Psen1 (0.14), Hdac4 (0.14)",0.13019730288142436,0.030699712481394956,0.6602898939959303,0.04915658960721549
Mycn,mouse,symbol,Mycn,MYCN,4.557530676451742,estimated:ortholog+family+function,"ortholog: MYCN (human) | family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1 | function: Prrx2 (0.32), Prrx1 (0.30), Maff (0.27), Ctcf (0.23), Gabpa (0.23), Tead2 (0.23), Junb (0.22), Foxf2 (0.22)",17.937650690855897,estimated:family+function,"family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1,Max | function: Prrx2 (0.32), Prrx1 (0.30), Maff (0.27), Mafg (0.26), Ctcf (0.23), Gabpa (0.23), Tead2 (0.23), Junb (0.22)",0.15208831926055053,0.038642026902290606,0.6602898939959303,0.04915658960721549
Mylpf,mouse,symbol,Mylpf,MYL11,12.370155738663104,estimated:ortholog+paralog_mid+family+function,"ortholog: MYL11 (human) | paralog_mid: Myl12a (56%), Myl12b (56%), Myl9 (55%) | family: Myosin light chains, class 2: Myl12b,Myl12a,Myl9 | function: Myl6 (0.39), Hpcal1 (0.20), Gtf3c5 (0.19), Rcn1 (0.17), Vamp5 (0.17), Maff (0.17), Tbc1d9b (0.16), Mbnl1 (0.15)",44.705099269237124,estimated:paralog_mid+family+function,"paralog_mid: Myl12a (56%), Myl12b (56%), Myl9 (55%) | family: Myosin light chains, class 2: Myl12b,Myl12a,Myl9 | function: Myl6b (0.43), Myl6 (0.39), Hpcal1 (0.20), Gtf3c5 (0.19), Rcn1 (0.17), Vamp5 (0.17), Maff (0.17), Tbc1d9b (0.16)",0.056033828126634135,0.01550487957504481,0.6602898939959303,0.04915658960721549
Ncam1,mouse,symbol,Ncam1,NCAM1,14.25,measured,,12.110000000000001,measured,,0.04864190740771546,0.05723758716432248,0.5158578695407459,0.04448989076230869
Nfic,mouse,symbol,Nfic,NFIC,12.46,measured,,26.440000000000005,measured,,0.05562978977206623,0.02621585403025511,0.5158578695407459,0.04448989076230869
Nme2,mouse,symbol,Nme2,"NME2P1,NME1-NME2,NME2",15.140000000000004,measured,,161.77999999999994,measured,,0.04578250862351024,0.00428450476301116,0.5158578695407459,0.04448989076230869
